ticker_yf,obs_date,y_inclusion_horizon,y_exclusion_horizon,y_any_change_horizon,days_to_next_inclusion,days_to_next_exclusion,days_to_next_any_change,horizon_days,date_grid_mode,label_fully_observed,证券代码,中文简称,英文简称,code_num,sources,universe_flag
0285.HK,2024-09-09,0,0,0,,,,60,event_dates,1,285.0,比亚迪电子,BYD ELECTRONIC,285.0,eligible,hk_only
0285.HK,2024-12-09,0,0,0,,,,60,event_dates,1,285.0,比亚迪电子,BYD ELECTRONIC,285.0,eligible,hk_only
0285.HK,2025-03-10,0,0,0,,,,60,event_dates,1,285.0,比亚迪电子,BYD ELECTRONIC,285.0,eligible,hk_only
0285.HK,2025-06-09,0,0,0,,,,60,event_dates,1,285.0,比亚迪电子,BYD ELECTRONIC,285.0,eligible,hk_only
0285.HK,2025-12-08,0,0,0,,,,60,event_dates,1,285.0,比亚迪电子,BYD ELECTRONIC,285.0,eligible,hk_only
0285.HK,2026-03-09,0,0,0,,,,60,event_dates,0,285.0,比亚迪电子,BYD ELECTRONIC,285.0,eligible,hk_only
0288.HK,2016-03-14,0,0,0,539.0,1274.0,539.0,60,event_dates,1,288.0,万洲国际,WH GROUP,288.0,eligible,hk_only
0288.HK,2016-06-06,0,0,0,455.0,1190.0,455.0,60,event_dates,1,288.0,万洲国际,WH GROUP,288.0,eligible,hk_only
0288.HK,2016-09-05,0,0,0,364.0,1099.0,364.0,60,event_dates,1,288.0,万洲国际,WH GROUP,288.0,eligible,hk_only
0288.HK,2016-12-05,0,0,0,273.0,1008.0,273.0,60,event_dates,1,288.0,万洲国际,WH GROUP,288.0,eligible,hk_only
0288.HK,2017-03-06,0,0,0,182.0,917.0,182.0,60,event_dates,1,288.0,万洲国际,WH GROUP,288.0,eligible,hk_only
0288.HK,2017-09-04,0,0,0,371.0,735.0,371.0,60,event_dates,1,288.0,万洲国际,WH GROUP,288.0,eligible,hk_only
0288.HK,2017-12-04,0,0,0,280.0,644.0,280.0,60,event_dates,1,288.0,万洲国际,WH GROUP,288.0,eligible,hk_only
0288.HK,2018-03-05,0,0,0,189.0,553.0,189.0,60,event_dates,1,288.0,万洲国际,WH GROUP,288.0,eligible,hk_only
0288.HK,2018-06-04,0,0,0,98.0,462.0,98.0,60,event_dates,1,288.0,万洲国际,WH GROUP,288.0,eligible,hk_only
0288.HK,2018-09-10,0,0,0,728.0,364.0,364.0,60,event_dates,1,288.0,万洲国际,WH GROUP,288.0,eligible,hk_only
0288.HK,2018-12-10,0,0,0,637.0,273.0,273.0,60,event_dates,1,288.0,万洲国际,WH GROUP,288.0,eligible,hk_only
0288.HK,2019-03-11,0,0,0,546.0,182.0,182.0,60,event_dates,1,288.0,万洲国际,WH GROUP,288.0,eligible,hk_only
0288.HK,2019-06-17,0,0,0,448.0,84.0,84.0,60,event_dates,1,288.0,万洲国际,WH GROUP,288.0,eligible,hk_only
0288.HK,2019-09-09,0,0,0,364.0,,364.0,60,event_dates,1,288.0,万洲国际,WH GROUP,288.0,eligible,hk_only
0288.HK,2019-12-09,0,0,0,273.0,,273.0,60,event_dates,1,288.0,万洲国际,WH GROUP,288.0,eligible,hk_only
0288.HK,2020-03-09,0,0,0,182.0,,182.0,60,event_dates,1,288.0,万洲国际,WH GROUP,288.0,eligible,hk_only
0288.HK,2020-06-08,0,0,0,91.0,,91.0,60,event_dates,1,288.0,万洲国际,WH GROUP,288.0,eligible,hk_only
0288.HK,2020-09-07,0,0,0,364.0,,364.0,60,event_dates,1,288.0,万洲国际,WH GROUP,288.0,eligible,hk_only
0288.HK,2020-12-07,0,0,0,273.0,,273.0,60,event_dates,1,288.0,万洲国际,WH GROUP,288.0,eligible,hk_only
0288.HK,2021-03-15,0,0,0,175.0,,175.0,60,event_dates,1,288.0,万洲国际,WH GROUP,288.0,eligible,hk_only
0288.HK,2021-06-07,0,0,0,91.0,,91.0,60,event_dates,1,288.0,万洲国际,WH GROUP,288.0,eligible,hk_only
0288.HK,2021-09-06,0,0,0,,,,60,event_dates,1,288.0,万洲国际,WH GROUP,288.0,eligible,hk_only
0288.HK,2021-12-06,0,0,0,,,,60,event_dates,1,288.0,万洲国际,WH GROUP,288.0,eligible,hk_only
0288.HK,2022-06-13,0,0,0,,,,60,event_dates,1,288.0,万洲国际,WH GROUP,288.0,eligible,hk_only
0288.HK,2022-12-05,0,0,0,,,,60,event_dates,1,288.0,万洲国际,WH GROUP,288.0,eligible,hk_only
0288.HK,2023-12-04,0,0,0,,,,60,event_dates,1,288.0,万洲国际,WH GROUP,288.0,eligible,hk_only
0288.HK,2024-03-04,0,0,0,,,,60,event_dates,1,288.0,万洲国际,WH GROUP,288.0,eligible,hk_only
0288.HK,2024-06-11,0,0,0,,,,60,event_dates,1,288.0,万洲国际,WH GROUP,288.0,eligible,hk_only
0288.HK,2024-09-09,0,0,0,,,,60,event_dates,1,288.0,万洲国际,WH GROUP,288.0,eligible,hk_only
0288.HK,2024-12-09,0,0,0,,,,60,event_dates,1,288.0,万洲国际,WH GROUP,288.0,eligible,hk_only
0288.HK,2025-03-10,0,0,0,,,,60,event_dates,1,288.0,万洲国际,WH GROUP,288.0,eligible,hk_only
0288.HK,2025-06-09,0,0,0,,,,60,event_dates,1,288.0,万洲国际,WH GROUP,288.0,eligible,hk_only
0288.HK,2025-12-08,0,0,0,,,,60,event_dates,1,288.0,万洲国际,WH GROUP,288.0,eligible,hk_only
0288.HK,2026-03-09,0,0,0,,,,60,event_dates,0,288.0,万洲国际,WH GROUP,288.0,eligible,hk_only
0290.HK,2016-03-14,0,0,0,,,,60,event_dates,1,290.0,国富量子,GOFINTECH QUANT,290.0,eligible,hk_only
0290.HK,2016-06-06,0,0,0,,,,60,event_dates,1,290.0,国富量子,GOFINTECH QUANT,290.0,eligible,hk_only
0290.HK,2016-09-05,0,0,0,,,,60,event_dates,1,290.0,国富量子,GOFINTECH QUANT,290.0,eligible,hk_only
0290.HK,2016-12-05,0,0,0,,,,60,event_dates,1,290.0,国富量子,GOFINTECH QUANT,290.0,eligible,hk_only
0290.HK,2017-03-06,0,0,0,,,,60,event_dates,1,290.0,国富量子,GOFINTECH QUANT,290.0,eligible,hk_only
0290.HK,2017-09-04,0,0,0,,,,60,event_dates,1,290.0,国富量子,GOFINTECH QUANT,290.0,eligible,hk_only
0290.HK,2017-12-04,0,0,0,,,,60,event_dates,1,290.0,国富量子,GOFINTECH QUANT,290.0,eligible,hk_only
0290.HK,2018-03-05,0,0,0,,,,60,event_dates,1,290.0,国富量子,GOFINTECH QUANT,290.0,eligible,hk_only
0290.HK,2018-06-04,0,0,0,,,,60,event_dates,1,290.0,国富量子,GOFINTECH QUANT,290.0,eligible,hk_only
0290.HK,2018-09-10,0,0,0,,,,60,event_dates,1,290.0,国富量子,GOFINTECH QUANT,290.0,eligible,hk_only
0290.HK,2018-12-10,0,0,0,,,,60,event_dates,1,290.0,国富量子,GOFINTECH QUANT,290.0,eligible,hk_only
0290.HK,2019-03-11,0,0,0,,,,60,event_dates,1,290.0,国富量子,GOFINTECH QUANT,290.0,eligible,hk_only
0290.HK,2019-06-17,0,0,0,,,,60,event_dates,1,290.0,国富量子,GOFINTECH QUANT,290.0,eligible,hk_only
0290.HK,2019-09-09,0,0,0,,,,60,event_dates,1,290.0,国富量子,GOFINTECH QUANT,290.0,eligible,hk_only
0290.HK,2019-12-09,0,0,0,,,,60,event_dates,1,290.0,国富量子,GOFINTECH QUANT,290.0,eligible,hk_only
0290.HK,2020-03-09,0,0,0,,,,60,event_dates,1,290.0,国富量子,GOFINTECH QUANT,290.0,eligible,hk_only
0290.HK,2020-06-08,0,0,0,,,,60,event_dates,1,290.0,国富量子,GOFINTECH QUANT,290.0,eligible,hk_only
0290.HK,2020-09-07,0,0,0,,,,60,event_dates,1,290.0,国富量子,GOFINTECH QUANT,290.0,eligible,hk_only
0290.HK,2020-12-07,0,0,0,,,,60,event_dates,1,290.0,国富量子,GOFINTECH QUANT,290.0,eligible,hk_only
0290.HK,2021-03-15,0,0,0,,,,60,event_dates,1,290.0,国富量子,GOFINTECH QUANT,290.0,eligible,hk_only
0290.HK,2021-06-07,0,0,0,,,,60,event_dates,1,290.0,国富量子,GOFINTECH QUANT,290.0,eligible,hk_only
0290.HK,2021-09-06,0,0,0,,,,60,event_dates,1,290.0,国富量子,GOFINTECH QUANT,290.0,eligible,hk_only
0290.HK,2021-12-06,0,0,0,,,,60,event_dates,1,290.0,国富量子,GOFINTECH QUANT,290.0,eligible,hk_only
0290.HK,2022-06-13,0,0,0,,,,60,event_dates,1,290.0,国富量子,GOFINTECH QUANT,290.0,eligible,hk_only
0290.HK,2022-12-05,0,0,0,,,,60,event_dates,1,290.0,国富量子,GOFINTECH QUANT,290.0,eligible,hk_only
0290.HK,2023-12-04,0,0,0,,,,60,event_dates,1,290.0,国富量子,GOFINTECH QUANT,290.0,eligible,hk_only
0290.HK,2024-03-04,0,0,0,,,,60,event_dates,1,290.0,国富量子,GOFINTECH QUANT,290.0,eligible,hk_only
0290.HK,2024-06-11,0,0,0,,,,60,event_dates,1,290.0,国富量子,GOFINTECH QUANT,290.0,eligible,hk_only
0290.HK,2024-09-09,0,0,0,,,,60,event_dates,1,290.0,国富量子,GOFINTECH QUANT,290.0,eligible,hk_only
0290.HK,2024-12-09,0,0,0,,,,60,event_dates,1,290.0,国富量子,GOFINTECH QUANT,290.0,eligible,hk_only
0290.HK,2025-03-10,0,0,0,,,,60,event_dates,1,290.0,国富量子,GOFINTECH QUANT,290.0,eligible,hk_only
0290.HK,2025-06-09,0,0,0,,,,60,event_dates,1,290.0,国富量子,GOFINTECH QUANT,290.0,eligible,hk_only
0290.HK,2025-12-08,0,0,0,,,,60,event_dates,1,290.0,国富量子,GOFINTECH QUANT,290.0,eligible,hk_only
0290.HK,2026-03-09,0,0,0,,,,60,event_dates,0,290.0,国富量子,GOFINTECH QUANT,290.0,eligible,hk_only
0291.HK,2016-03-14,0,0,0,1190.0,,1190.0,60,event_dates,1,291.0,华润啤酒,CHINA RES BEER,291.0,eligible,hk_only
0291.HK,2016-06-06,0,0,0,1106.0,,1106.0,60,event_dates,1,291.0,华润啤酒,CHINA RES BEER,291.0,eligible,hk_only
0291.HK,2016-09-05,0,0,0,1015.0,,1015.0,60,event_dates,1,291.0,华润啤酒,CHINA RES BEER,291.0,eligible,hk_only
0291.HK,2016-12-05,0,0,0,924.0,,924.0,60,event_dates,1,291.0,华润啤酒,CHINA RES BEER,291.0,eligible,hk_only
0291.HK,2017-03-06,0,0,0,833.0,,833.0,60,event_dates,1,291.0,华润啤酒,CHINA RES BEER,291.0,eligible,hk_only
