change_type,event_day,n_events,avg_daily_ret,med_daily_ret,avg_cum_ret,med_cum_ret
Inclusion,-24,1031,-0.0030223508307455752,-0.004800033569335893,0.001989024912301052,-0.025848117275132143
Inclusion,-23,1031,-0.0010189501322557777,0.0,-0.0015571182267740688,-0.02904571334786865
Inclusion,-22,1031,0.0035513434792144704,0.0,0.0013729023699633376,-0.024960975229462057
Inclusion,-21,1031,0.0028686874329023307,0.002193032677044293,0.0028981074609009823,-0.022177389913026535
Inclusion,-20,1031,-0.0010784872492693148,-0.0032154311255848667,0.002333738588272639,-0.02470327849046372
Inclusion,-19,1031,0.006775238770116371,0.004911591208359711,0.007198783917933996,-0.022194800981332086
Inclusion,-18,1031,-0.0015706873066335357,-0.001867456367174003,0.004896635115467821,-0.02471171188227106
Inclusion,-17,1031,-0.0013181425698407683,0.0,0.0038845240326233254,-0.025763312584242803
Inclusion,-16,1031,-0.0010215758048237446,-0.002314867704736656,0.0011835979912013534,-0.025848117275132143
Inclusion,-15,1031,0.0005902238939029101,0.0,-0.00017296115622930704,-0.025974001846660322
Inclusion,-14,1031,0.012378731193908619,0.009708682130449064,0.0103366835663494,-0.016155073296957645
Inclusion,-13,1031,0.00012371407256239246,0.0,0.010048629438477567,-0.015075376884422065
Inclusion,-12,1031,-0.000793339207811568,-0.0007491093896301315,0.007400846814267695,-0.0156006095184138
Inclusion,-11,1031,0.0005593567272021179,0.0,0.008503205960791224,-0.01501156082349886
Inclusion,-10,1031,9.927477509607632e-05,0.0,0.00746615275440107,-0.01282056141338439
Inclusion,-9,1031,0.005630540009273327,0.00196458776913655,0.011908106126999937,-0.011363587103598194
Inclusion,-8,1031,0.005035078205670479,0.0023310557041396063,0.015657762612924106,-0.007263883497594548
Inclusion,-7,1031,0.0014075765674983172,0.0,0.01594435844348036,-0.00418990692884369
Inclusion,-6,1031,-0.0020852035822829518,-0.0037037001061669406,0.013074982346849078,-0.006528107405703865
Inclusion,-5,1031,-6.895688694060972e-05,0.0,0.012519526556904225,-0.0065645346182101605
Inclusion,-4,1031,0.004416354350549216,0.002538068608636479,0.015600518517971906,-0.0051334899291402
