event_date,ticker_yf,y_inclusion_binary,index,neg_subtype,feature_anchor_date,feature_boundary_calendar,calendar_days_before,close_at_event_anchor,ret_5d_pre,ret_20d_pre,ret_60d_pre,dist_from_60d_high,dist_from_252d_high,volume_at_event_anchor,dollar_volume_at_event_anchor,avg_volume_20d_pre,avg_volume_60d_pre,avg_dollar_volume_20d_pre,avg_dollar_volume_60d_pre,realized_vol_20d_pre,realized_vol_60d_pre,shares_source,market_cap_available,market_cap_is_approx,turnover_available,market_cap_approx,share_turnover_at_event_anchor,year,month,prior_inclusion_count_ticker
2025-03-10,2511.HK,0,Hang Seng Composite Index,Removal,2024-11-08,2024-11-10,120,1.2300000190734863,0.0336134117055904,0.0884955966936618,-0.1398600949722938,-0.2012986691288804,-0.9050925914002271,864000.0,1062720.0164794922,545575.0,3964475.0,617508.7525993586,5392672.290687263,0.037702976434692406,0.07549356262698484,,0,0,0,,,2025,3,0.0
2024-03-04,2517.HK,1,Hang Seng Composite Index,,2023-11-03,2023-11-05,120,5.980000019073486,,,,0.0,0.0,1825600.0,10917088.034820557,3129200.0,3129200.0,18712616.059684753,18712616.059684753,,,,0,0,0,,,2024,3,0.0
2025-03-10,2522.HK,1,Hang Seng Composite Index,,2024-11-08,2024-11-10,120,42.900001525878906,0.13043480009026598,0.38387101696383574,1.3966481810127167,-0.033783782622748615,-0.033783782622748615,35000.0,1501500.0534057617,89030.0,84924.0,3250218.7657260895,2527014.748189926,0.037323741199857825,0.041553939225844085,,0,0,0,,,2025,3,0.0
2024-12-09,2533.HK,1,Hang Seng Composite Index,,2024-08-09,2024-08-11,120,21.5,,,,0.0,0.0,829100.0,17825650.0,2077700.0,2077700.0,42924243.76888275,42924243.76888275,,,,0,0,0,,,2024,12,0.0
2024-09-09,2555.HK,1,Hang Seng Composite Index,,2024-05-10,2024-05-12,120,10.65999984741211,-0.09966218665274817,,,-0.16718752433080186,-0.16718752433080186,388800.0,4144607.940673828,1983579.076923077,1983579.076923077,24509706.63772319,24509706.63772319,0.035678262714214655,0.035678262714214655,,0,0,0,,,2024,9,0.0
2025-03-10,2562.HK,1,Hang Seng Composite Index,,2024-11-08,2024-11-10,120,17.0,-0.08108108108108103,,,-0.10526315789473684,-0.10526315789473684,248000.0,4216000.0,407666.6666666667,407666.6666666667,7287188.816494412,7287188.816494412,0.30101566804152186,0.30101566804152186,,0,0,0,,,2025,3,0.0
2025-03-10,2563.HK,1,Hang Seng Composite Index,,2024-11-08,2024-11-10,120,28.649999618530273,0.09770111876592069,,,0.0,0.0,220100.0,6305864.916038513,981971.4285714285,981971.4285714285,23524361.90722329,23524361.90722329,0.09016484473205948,0.09016484473205948,,0,0,0,,,2025,3,0.0
2025-12-08,2590.HK,1,Hang Seng Composite Index,,2025-08-08,2025-08-10,120,18.600000381469727,0.0954064124209062,0.005405426025390625,,-0.06813621069055575,-0.06813621069055575,2742400.0,51008641.04614258,4857966.8,9219445.739130436,89395710.75623369,168034334.74019483,0.03452283080463968,0.03724033134315078,,0,0,0,,,2025,12,0.0
2024-09-09,2602.HK,1,Hang Seng Composite Index,,2024-05-10,2024-05-12,120,24.049999237060547,0.029978537222908663,0.31134127791525334,0.3042298557769336,-0.008247454141833144,-0.333795006825244,1194000.0,28715699.089050293,1178187.75,1195850.65,25077014.12845049,23473013.978523668,0.03650214182520725,0.03990157704851052,,0,0,0,,,2024,9,0.0
2017-09-04,2611.HK,1,Hang Seng China AH Index Series,,2017-05-05,2017-05-07,120,15.5,-0.021464655890949702,,,-0.021464655890949702,-0.021464655890949702,1301000.0,20165500.0,11036012.0,11036012.0,174757204.41763052,174757204.41763052,0.0037838215149335937,0.0037838215149335937,yfinance_info_static_sharesOutstanding,1,1,1,54339277644.0,0.0003711035713818809,2017,9,0.0
