date,index,change_type,ticker,ticker_normalized,company
9/4/17,Hang Seng Composite LargeCap & MidCap Index,Inclusion,2799,2799.HK,"China Huarong Asset Management Co., Ltd. - H Shares"
9/4/17,Hang Seng Composite LargeCap & MidCap Index,Inclusion,3606,3606.HK,"Fuyao Glass Industry Group Co., Ltd. - H Shares"
9/4/17,Hang Seng Corporate Sustainability Benchmark Index,Exclusion,000039,000039.SZ,"China International Marine Containers (Group) Co., Ltd."
9/4/17,Hang Seng Corporate Sustainability Benchmark Index,Exclusion,000825,000825.SZ,"Shanxi Taigang Stainless Steel Co., Ltd."
9/4/17,Hang Seng Corporate Sustainability Benchmark Index,Exclusion,363,0363.HK,Shanghai Industrial Holdings Ltd.
9/4/17,Hang Seng Corporate Sustainability Benchmark Index,Exclusion,552,0552.HK,China Communications Services Corporation Ltd. - H Shares
9/4/17,Hang Seng Corporate Sustainability Benchmark Index,Exclusion,670,0670.HK,China Eastern Airlines Corporation Ltd. - H Shares
9/4/17,Hang Seng Corporate Sustainability Benchmark Index,Exclusion,998,0998.HK,China CITIC Bank Corporation Ltd. - H Shares
9/4/17,Hang Seng Corporate Sustainability Benchmark Index,Exclusion,1113,1113.HK,Cheung Kong Property Holdings Ltd.
9/4/17,Hang Seng Corporate Sustainability Benchmark Index,Exclusion,1333,1333.HK,China Zhongwang Holdings Ltd.
9/4/17,Hang Seng Corporate Sustainability Benchmark Index,Exclusion,1339,1339.HK,The People's Insurance Co. (Group) of China Ltd. - H Shares
9/4/17,Hang Seng Corporate Sustainability Benchmark Index,Exclusion,1963,1963.HK,"Bank of Chongqing Co., Ltd. - H Shares"
9/4/17,Hang Seng Corporate Sustainability Benchmark Index,Exclusion,1999,1999.HK,Man Wah Holdings Ltd.
9/4/17,Hang Seng Corporate Sustainability Benchmark Index,Exclusion,3898,3898.HK,"Zhuzhou CRRC Times Electric Co., Ltd. - H Shares"
9/4/17,Hang Seng Corporate Sustainability Benchmark Index,Exclusion,600600,600600.SH,Tsingtao Brewery Co. Ltd.
9/4/17,Hang Seng Corporate Sustainability Benchmark Index,Exclusion,601818,601818.SH,China Everbright Bank Company Limited
9/4/17,Hang Seng Corporate Sustainability Benchmark Index,Exclusion,6818,6818.HK,China Everbright Bank Co. Ltd. - H Shares
9/4/17,Hang Seng Corporate Sustainability Benchmark Index,Inclusion,20,0020.HK,Wheelock and Co. Ltd.
9/4/17,Hang Seng Corporate Sustainability Benchmark Index,Inclusion,002202,002202.SZ,"Xinjiang Goldwind Science & Technology Co., Ltd."
9/4/17,Hang Seng Corporate Sustainability Benchmark Index,Inclusion,323,0323.HK,Maanshan Iron & Steel Co. Ltd. - H Shares
9/4/17,Hang Seng Corporate Sustainability Benchmark Index,Inclusion,347,0347.HK,Angang Steel Co. Ltd. - H Shares
9/4/17,Hang Seng Corporate Sustainability Benchmark Index,Inclusion,480,0480.HK,HKR International Ltd.
9/4/17,Hang Seng Corporate Sustainability Benchmark Index,Inclusion,506,0506.HK,China Foods Ltd.
9/4/17,Hang Seng Corporate Sustainability Benchmark Index,Inclusion,778,0778.HK,Fortune Real Estate Investment Trust
9/4/17,Hang Seng Corporate Sustainability Benchmark Index,Inclusion,991,0991.HK,"Datang International Power Generation Co., Ltd. - H Shares"
9/4/17,Hang Seng Corporate Sustainability Benchmark Index,Inclusion,1109,1109.HK,China Resources Land Ltd.
9/4/17,Hang Seng Corporate Sustainability Benchmark Index,Inclusion,1316,1316.HK,Nexteer Automotive Group Ltd.
9/4/17,Hang Seng Corporate Sustainability Benchmark Index,Inclusion,1347,1347.HK,Hua Hong Semiconductor Ltd.
9/4/17,Hang Seng Corporate Sustainability Benchmark Index,Inclusion,2208,2208.HK,"Xinjiang Goldwind Science & Technology Co., Ltd. - H Shares"
9/4/17,Hang Seng Corporate Sustainability Benchmark Index,Inclusion,2238,2238.HK,"Guangzhou Automobile Group Co., Ltd. - H Shares"
9/4/17,Hang Seng Corporate Sustainability Benchmark Index,Inclusion,3377,3377.HK,Sino-Ocean Group Holding Ltd.
9/4/17,Hang Seng Corporate Sustainability Benchmark Index,Inclusion,3800,3800.HK,GCL-Poly Energy Holdings Ltd.
9/4/17,Hang Seng Corporate Sustainability Benchmark Index,Inclusion,601238,601238.SH,"Guangzhou Automobile Group Co., Ltd."
