证券代码,中文简称,英文简称,code_num,ticker_yf
2050,三花智控,SANHUA,2050,2050.HK
2057,中通快递－Ｗ,ZTO EXPRESS-W,2057,2057.HK
2068,中铝国际,CHALIECO,2068,2068.HK
2096,先声药业,SIMCERE PHARMA,2096,2096.HK
2097,蜜雪集团,MIXUE GROUP,2097,2097.HK
2099,中国黄金国际,CHINAGOLDINTL,2099,2099.HK
2128,中国联塑,CHINA LESSO,2128,2128.HK
2145,上美股份,CHICMAX,2145,2145.HK
2155,森松国际,MORIMATSU INTL,2155,2155.HK
2157,乐普生物－Ｂ,LEPU BIO-B,2157,2157.HK
2158,医渡科技,YIDU TECH,2158,2158.HK
2162,康诺亚－Ｂ,KEYMED BIO-B,2162,2162.HK
2171,科济药业－Ｂ,CARSGEN-B,2171,2171.HK
2172,微创脑科学,MICROPORT NEURO,2172,2172.HK
2186,绿叶制药,LUYE PHARMA,2186,2186.HK
2192,医脉通,MEDLIVE,2192,2192.HK
2196,复星医药,FOSUN PHARMA,2196,2196.HK
2202,万科企业,CHINA VANKE,2202,2202.HK
2208,金风科技,GOLDWIND,2208,2208.HK
2218,安德利果汁,ANDRE JUICE,2218,2218.HK
2228,晶泰控股,XTALPI,2228,2228.HK
2232,晶苑国际,CRYSTAL INTL,2232,2232.HK
2233,西部水泥,WESTCHINACEMENT,2233,2233.HK
2238,广汽集团,GAC GROUP,2238,2238.HK
2252,微创机器人－Ｂ,MEDBOT-B,2252,2252.HK
2255,海昌海洋公园,HAICHANG HLDG,2255,2255.HK
2259,紫金黄金国际,ZIJIN GOLD INTL,2259,2259.HK
2268,药明合联,WUXI XDC,2268,2268.HK
2269,药明生物,WUXI BIO,2269,2269.HK
2273,固生堂,GUSHENGTANG,2273,2273.HK
2276,康耐特光学,CONANT OPTICAL,2276,2276.HK
2282,美高梅中国,MGM CHINA,2282,2282.HK
2285,泉峰控股,CHERVON,2285,2285.HK
2291,心泰医疗,SCIENTECH,2291,2291.HK
2313,申洲国际,SHENZHOU INTL,2313,2313.HK
2314,理文造纸,LEE & MAN PAPER,2314,2314.HK
2315,百奥赛图－Ｂ,BIOCYTOGEN-B,2315,2315.HK
2318,中国平安,PING AN,2318,2318.HK
2319,蒙牛乳业,MENGNIU DAIRY,2319,2319.HK
2328,中国财险,PICC P&C,2328,2328.HK
2331,李宁,LI NING,2331,2331.HK
2333,长城汽车,GWMOTOR,2333,2333.HK
2338,潍柴动力,WEICHAI POWER,2338,2338.HK
2343,太平洋航运,PACIFIC BASIN,2343,2343.HK
2356,大新银行集团,DAHSING BANKING,2356,2356.HK
2357,中航科工,AVICHINA,2357,2357.HK
2359,药明康德,WUXI APPTEC,2359,2359.HK
2367,巨子生物,GIANT BIOGENE,2367,2367.HK
2378,保诚,PRU,2378,2378.HK
2380,中国电力,CHINA POWER,2380,2380.HK
2382,舜宇光学科技,SUNNY OPTICAL,2382,2382.HK
2386,中石化炼化工程,SINOPEC SEG,2386,2386.HK
2388,中银香港,BOC HONG KONG,2388,2388.HK
2400,心动公司,XD INC,2400,2400.HK
2402,亿华通,SINOHYTEC,2402,2402.HK
2410,同源康医药－Ｂ,TYK MEDICINES-B,2410,2410.HK
2419,德康农牧,DEKON AGR,2419,2419.HK
2423,贝壳－Ｗ,BEKE-W,2423,2423.HK
2431,佑驾创新,MINIEYE,2431,2431.HK
2432,越疆,DOBOT,2432,2432.HK
2460,华润饮料,CR BEVERAGE,2460,2460.HK
2465,龙蟠科技,LOPAL TECH,2465,2465.HK
2473,喜相逢集团,XXF,2473,2473.HK
2477,经纬天地,WELLCELL HOLD,2477,2477.HK
2498,速腾聚创,ROBOSENSE,2498,2498.HK
2506,讯飞医疗科技,XUNFEIHEALTH,2506,2506.HK
2507,西锐,CIRRUS,2507,2507.HK
2510,德翔海运,TS LINES,2510,2510.HK
2517,锅圈,GUOQUAN,2517,2517.HK
2533,黑芝麻智能,BLACK SESAME,2533,2533.HK
2555,茶百道,CHABAIDAO,2555,2555.HK
2556,迈富时,MARKETINGFORCE,2556,2556.HK
2562,狮腾控股,SYNAGISTICS,2562,2562.HK
2565,派格生物医药－Ｂ,PEGBIO CO-B,2565,2565.HK
2570,重塑能源,REFIRE,2570,2570.HK
2575,轩竹生物－Ｂ,XUANZHUBIO-B,2575,2575.HK
2577,英诺赛科,INNOSCIENCE,2577,2577.HK
2579,中伟新材,CNGR,2579,2579.HK
