date,index,change_type,ticker,ticker_normalized,company,source_row_id,change_type_raw,index_raw,index_normalization_status,symbol_rank_within_row,is_primary_symbol,symbol_token_raw,ticker_yf_normalized,ticker_parse_status,ticker_yf,y_enter_stock_connect,asof_date,fundamentals_available,revenue_ttm_asof,net_income_ttm_asof,ocf_ttm_asof,roe_asof,roa_asof,rev_ttm_qoq_trend,ni_ttm_qoq_trend,ocf_ttm_qoq_trend,fundamental_staleness_days
2018-09-10,Hang Seng (China A) Corporate Sustainability Benchmark Index,Exclusion,600000,600000.SH,"Shanghai Pudong Development Bank Co., Ltd.",305,Exclusion,Hang Seng (China A) Corporate Sustainability Benchmark Index,unchanged,1,1,600000.SH,600000.SS,parse_ok,600000.SS,0,2018-06-12,0,,,,,,,,,
2018-09-10,Hang Seng (China A) Corporate Sustainability Index,Exclusion,600000,600000.SH,"Shanghai Pudong Development Bank Co., Ltd.",326,Exclusion,Hang Seng (China A) Corporate Sustainability Index,unchanged,1,1,600000.SH,600000.SS,parse_ok,600000.SS,0,2018-06-12,0,,,,,,,,,
2018-09-10,Hang Seng (China A) Corporate Sustainability Index,Inclusion,600019,600019.SH,"Baoshan Iron & Steel Co., Ltd.",331,Inclusion,Hang Seng (China A) Corporate Sustainability Index,unchanged,1,1,600019.SH,600019.SS,parse_ok,600019.SS,1,2018-06-12,0,,,,,,,,,
2018-09-10,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,600027,600027.SH,Huadian Power International Corporation Ltd.,315,Inclusion,Hang Seng (China A) Corporate Sustainability Benchmark Index,unchanged,1,1,600027.SH,600027.SS,parse_ok,600027.SS,1,2018-06-12,0,,,,,,,,,
2018-09-10,Hang Seng China A Industry Top Index,Exclusion,600027,600027.SH,Huadian Power International Corporation Ltd.,343,Exclusion,Hang Seng China A Industry Top Index,unchanged,1,1,600027.SH,600027.SS,parse_ok,600027.SS,0,2018-06-12,0,,,,,,,,,
2018-09-10,Hang Seng China A Top 100 Index,Exclusion,600027,600027.SH,Huadian Power International Corporation Ltd.,354,Exclusion,Hang Seng China A Top 100 Index,unchanged,1,1,600027.SH,600027.SS,parse_ok,600027.SS,0,2018-06-12,0,,,,,,,,,
2018-09-10,Hang Seng (China A) Corporate Sustainability Benchmark Index,Exclusion,600036,600036.SH,"China Merchants Bank Co., Ltd.",306,Exclusion,Hang Seng (China A) Corporate Sustainability Benchmark Index,unchanged,1,1,600036.SH,600036.SS,parse_ok,600036.SS,0,2018-06-12,0,,,,,,,,,
2018-09-10,Hang Seng (China A) Corporate Sustainability Index,Exclusion,600036,600036.SH,"China Merchants Bank Co., Ltd.",327,Exclusion,Hang Seng (China A) Corporate Sustainability Index,unchanged,1,1,600036.SH,600036.SS,parse_ok,600036.SS,0,2018-06-12,0,,,,,,,,,
2018-09-10,Hang Seng (China A) Corporate Sustainability Benchmark Index,Exclusion,600098,600098.SH,Guangzhou Development Group Incorporated,307,Exclusion,Hang Seng (China A) Corporate Sustainability Benchmark Index,unchanged,1,1,600098.SH,600098.SS,parse_ok,600098.SS,0,2018-06-12,0,,,,,,,,,
2018-09-10,Hang Seng (China A) Corporate Sustainability Benchmark Index,Inclusion,600115,600115.SH,China Eastern Airlines Corporation Ltd.,316,Inclusion,Hang Seng (China A) Corporate Sustainability Benchmark Index,unchanged,1,1,600115.SH,600115.SS,parse_ok,600115.SS,1,2018-06-12,0,,,,,,,,,
