announcement_date,ref_trading_day,cutoff_trading_days_before,asof_date,asof_calendar_ok,ticker_yf,y_review,in_eligible_universe,row_kind,y_review_code
2022-12-05,2022-12-05,5,2022-11-28,True,2609.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2610.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2611.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2617.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2618.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2627.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2628.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2629.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2631.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2637.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2643.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2648.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2652.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2655.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2656.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2659.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2661.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2665.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2666.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2669.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2676.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2685.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2687.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2688.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2689.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2691.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2692.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2698.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2714.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2727.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2768.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2788.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2799.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2800.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2801.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2825.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2828.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2837.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2858.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2865.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2866.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2869.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2877.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2880.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2883.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2888.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2889.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,2899.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,3032.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,3033.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,3037.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,3039.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,3040.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,3067.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,3069.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,3070.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,3088.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,3110.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,3115.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,3167.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,3174.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,3200.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,3268.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,3288.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,3306.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,3311.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,3317.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,3320.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,3323.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,3328.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,3330.HK,no_change,True,eligible_no_change,0
