source_row_id,ticker_normalized_raw,ticker_raw,ticker_parse_status,parsed_tokens,mapped_tickers
784,0400.HK,400,parse_ok,0400.HK,0400.HK
785,0439.HK,439,parse_ok,0439.HK,0439.HK
786,0508.HK,508,parse_ok,0508.HK,0508.HK
787,0511.HK,511,parse_ok,0511.HK,0511.HK
788,0512.HK,512,parse_ok,0512.HK,0512.HK
789,0579.HK,579,parse_ok,0579.HK,0579.HK
790,0699.HK,699,parse_ok,0699.HK,0699.HK
791,0860.HK,860,parse_ok,0860.HK,0860.HK
792,0931.HK,931,parse_ok,0931.HK,0931.HK
793,0950.HK,950,parse_ok,0950.HK,0950.HK
794,0951.HK,951,parse_ok,0951.HK,0951.HK
795,1086.HK,1086,parse_ok,1086.HK,1086.HK
796,1361.HK,1361,parse_ok,1361.HK,1361.HK
797,1680.HK,1680,parse_ok,1680.HK,1680.HK
798,1916.HK,1916,parse_ok,1916.HK,1916.HK
799,1980.HK,1980,parse_ok,1980.HK,1980.HK
800,2099.HK,2099,parse_ok,2099.HK,2099.HK
801,2232.HK,2232,parse_ok,2232.HK,2232.HK
802,2866.HK,2866,parse_ok,2866.HK,2866.HK
803,3329.HK,3329,parse_ok,3329.HK,3329.HK
804,6100.HK,6100,parse_ok,6100.HK,6100.HK
805,6828.HK,6828,parse_ok,6828.HK,6828.HK
806,6889.HK,6889,parse_ok,6889.HK,6889.HK
807,87001.HK,87001,parse_ok,87001.HK,87001.HK
808,000555.SZ,555,parse_ok,000555.SZ,000555.SZ
809,000967.SZ,967,parse_ok,000967.SZ,000967.SZ
810,300602.SZ,300602,parse_ok,300602.SZ,300602.SZ
811,300770.SZ,300770,parse_ok,300770.SZ,300770.SZ
812,3319.HK,3319,parse_ok,3319.HK,3319.HK
813,3331.HK,3331,parse_ok,3331.HK,3331.HK
814,603983.SH,603983,parse_ok,603983.SH,603983.SS
815,6049.HK,6049,parse_ok,6049.HK,6049.HK
816,6055.HK,6055,parse_ok,6055.HK,6055.HK
817,000008.SZ,8,parse_ok,000008.SZ,000008.SZ
818,000036.SZ,36,parse_ok,000036.SZ,000036.SZ
819,002016.SZ,2016,parse_ok,002016.SZ,002016.SZ
820,0178.HK,178,parse_ok,0178.HK,0178.HK
821,0511.HK,511,parse_ok,0511.HK,0511.HK
822,0751.HK,751,parse_ok,0751.HK,0751.HK
823,3933.HK,3933,parse_ok,3933.HK,3933.HK
824,600499.SH,600499,parse_ok,600499.SH,600499.SS
825,603898.SH,603898,parse_ok,603898.SH,603898.SS
826,0762.HK,762,parse_ok,0762.HK,0762.HK
827,0813.HK,813,parse_ok,0813.HK,0813.HK
828,2319.HK,2319,parse_ok,2319.HK,2319.HK
829,1336.HK,1336,parse_ok,1336.HK,1336.HK
830,1800.HK,1800,parse_ok,1800.HK,1800.HK
831,6837.HK,6837,parse_ok,6837.HK,6837.HK
832,002371.SZ,2371,parse_ok,002371.SZ,002371.SZ
833,002594.SZ,2594,parse_ok,002594.SZ,002594.SZ
834,300124.SZ,300124,parse_ok,300124.SZ,300124.SZ
835,600028.SH,600028,parse_ok,600028.SH,600028.SS
836,600183.SH,600183,parse_ok,600183.SH,600183.SS
837,601231.SH,601231,parse_ok,601231.SH,601231.SS
838,601727.SH,601727,parse_ok,601727.SH,601727.SS
839,603019.SH,603019,parse_ok,603019.SH,603019.SS
840,000825.SZ,825,parse_ok,000825.SZ,000825.SZ
841,002415.SZ,2415,parse_ok,002415.SZ,002415.SZ
842,002916.SZ,2916,parse_ok,002916.SZ,002916.SZ
843,600089.SH,600089,parse_ok,600089.SH,600089.SS
844,601601.SH,601601,parse_ok,601601.SH,601601.SS
845,601607.SH,601607,parse_ok,601607.SH,601607.SS
846,601618.SH,601618,parse_ok,601618.SH,601618.SS
847,601991.SH,601991,parse_ok,601991.SH,601991.SS
848,300760.SZ,300760,parse_ok,300760.SZ,300760.SZ
849,3690.HK,3690,parse_ok,3690.HK,3690.HK
850,601816.SH,601816,parse_ok,601816.SH,601816.SS
851,9988.HK,9988,parse_ok,9988.HK,9988.HK
852,0762.HK,762,parse_ok,0762.HK,0762.HK
853,1800.HK,1800,parse_ok,1800.HK,1800.HK
854,2328.HK,2328,parse_ok,2328.HK,2328.HK
855,600050.SH,600050,parse_ok,600050.SH,600050.SS
856,600887.SH,600887,parse_ok,600887.SH,600887.SS
857,003816.SZ,3816,parse_ok,003816.SZ,003816.SZ
858,600031.SH,600031,parse_ok,600031.SH,600031.SS
859,600188.SH,600188,parse_ok,600188.SH,600188.SS
860,600346.SH,600346,parse_ok,600346.SH,600346.SS
861,600585.SH,600585,parse_ok,600585.SH,600585.SS
862,600606.SH,600606,parse_ok,600606.SH,600606.SS
863,601698.SH,601698,parse_ok,601698.SH,601698.SS
864,601816.SH,601816,parse_ok,601816.SH,601816.SS
865,603259.SH,603259,parse_ok,603259.SH,603259.SS
866,000338.SZ,338,parse_ok,000338.SZ,000338.SZ
867,600023.SH,600023,parse_ok,600023.SH,600023.SS
868,600118.SH,600118,parse_ok,600118.SH,600118.SS
869,600688.SH,600688,parse_ok,600688.SH,600688.SS
870,601111.SH,601111,parse_ok,601111.SH,601111.SS
871,601186.SH,601186,parse_ok,601186.SH,601186.SS
872,601607.SH,601607,parse_ok,601607.SH,601607.SS
873,601898.SH,601898,parse_ok,601898.SH,601898.SS
874,002475.SZ,2475,parse_ok,002475.SZ,002475.SZ
875,003816.SZ,3816,parse_ok,003816.SZ,003816.SZ
876,600276.SH,600276,parse_ok,600276.SH,600276.SS
877,601658.SH,601658,parse_ok,601658.SH,601658.SS
878,601816.SH,601816,parse_ok,601816.SH,601816.SS
879,601916.SH,601916,parse_ok,601916.SH,601916.SS
880,603288.SH,603288,parse_ok,603288.SH,603288.SS
881,600011.SH,600011,parse_ok,600011.SH,600011.SS
882,600023.SH,600023,parse_ok,600023.SH,600023.SS
883,600297.SH,600297,parse_ok,600297.SH,600297.SS
884,600362.SH,600362,parse_ok,600362.SH,600362.SS
885,600688.SH,600688,parse_ok,600688.SH,600688.SS
886,600795.SH,600795,parse_ok,600795.SH,600795.SS
887,601898.SH,601898,parse_ok,601898.SH,601898.SS
888,1810.HK,1810,parse_ok,1810.HK,1810.HK
889,3690.HK,3690,parse_ok,3690.HK,3690.HK
890,9988.HK,9988,parse_ok,9988.HK,9988.HK
891,1099.HK,1099,parse_ok,1099.HK,1099.HK
892,1211.HK,1211,parse_ok,1211.HK,1211.HK
893,6030.HK,6030,parse_ok,6030.HK,6030.HK
894,0035.HK,35,parse_ok,0035.HK,0035.HK
895,0041.HK,41,parse_ok,0041.HK,0041.HK
896,0699.HK,699,parse_ok,0699.HK,0699.HK
897,1141.HK,1141,parse_ok,1141.HK,1141.HK
898,1475.HK,1475,parse_ok,1475.HK,1475.HK
899,1675.HK,1675,parse_ok,1675.HK,1675.HK
900,1773.HK,1773,parse_ok,1773.HK,1773.HK
901,1801.HK,1801,parse_ok,1801.HK,1801.HK
902,1817.HK,1817,parse_ok,1817.HK,1817.HK
903,1995.HK,1995,parse_ok,1995.HK,1995.HK
904,2342.HK,2342,parse_ok,2342.HK,2342.HK
905,2356.HK,2356,parse_ok,2356.HK,2356.HK
906,2500.HK,2500,parse_ok,2500.HK,2500.HK
907,3759.HK,3759,parse_ok,3759.HK,3759.HK
908,3813.HK,3813,parse_ok,3813.HK,3813.HK
909,6078.HK,6078,parse_ok,6078.HK,6078.HK
910,6099.HK,6099,parse_ok,6099.HK,6099.HK
911,6160.HK,6160,parse_ok,6160.HK,6160.HK
912,6185.HK,6185,parse_ok,6185.HK,6185.HK
913,6855.HK,6855,parse_ok,6855.HK,6855.HK
914,6889.HK,6889,parse_ok,6889.HK,6889.HK
915,9909.HK,9909,parse_ok,9909.HK,9909.HK
916,9922.HK,9922,parse_ok,9922.HK,9922.HK
917,9923.HK,9923,parse_ok,9923.HK,9923.HK
918,9926.HK,9926,parse_ok,9926.HK,9926.HK
919,9928.HK,9928,parse_ok,9928.HK,9928.HK
920,9966.HK,9966,parse_ok,9966.HK,9966.HK
921,9968.HK,9968,parse_ok,9968.HK,9968.HK
922,9969.HK,9969,parse_ok,9969.HK,9969.HK
923,9983.HK,9983,parse_ok,9983.HK,9983.HK
924,9996.HK,9996,parse_ok,9996.HK,9996.HK
925,9997.HK,9997,parse_ok,9997.HK,9997.HK
926,0078.HK,78,parse_ok,0078.HK,0078.HK
927,0317.HK,317,parse_ok,0317.HK,0317.HK
928,0451.HK,451,parse_ok,0451.HK,0451.HK
929,0525.HK,525,parse_ok,0525.HK,0525.HK
930,0582.HK,582,parse_ok,0582.HK,0582.HK
931,0607.HK,607,parse_ok,0607.HK,0607.HK
932,0687.HK,687,parse_ok,0687.HK,0687.HK
933,0709.HK,709,parse_ok,0709.HK,0709.HK
934,0732.HK,732,parse_ok,0732.HK,0732.HK
935,0906.HK,906,parse_ok,0906.HK,0906.HK
936,1131.HK,1131,parse_ok,1131.HK,1131.HK
937,1205.HK,1205,parse_ok,1205.HK,1205.HK
938,1286.HK,1286,parse_ok,1286.HK,1286.HK
939,1681.HK,1681,parse_ok,1681.HK,1681.HK
940,1806.HK,1806,parse_ok,1806.HK,1806.HK
941,1905.HK,1905,parse_ok,1905.HK,1905.HK
942,2003.HK,2003,parse_ok,2003.HK,2003.HK
943,2051.HK,2051,parse_ok,2051.HK,2051.HK
944,2255.HK,2255,parse_ok,2255.HK,2255.HK
945,2280.HK,2280,parse_ok,2280.HK,2280.HK
946,2362.HK,2362,parse_ok,2362.HK,2362.HK
947,3382.HK,3382,parse_ok,3382.HK,3382.HK
948,3983.HK,3983,parse_ok,3983.HK,3983.HK
949,0008.HK,8,parse_ok,0008.HK,0008.HK
950,0659.HK,659,parse_ok,0659.HK,0659.HK
951,2319.HK,2319,parse_ok,2319.HK,2319.HK
952,0014.HK,14,parse_ok,0014.HK,0014.HK
953,0069.HK,69,parse_ok,0069.HK,0069.HK
954,1109.HK,1109,parse_ok,1109.HK,1109.HK
955,0148.HK,148,parse_ok,0148.HK,0148.HK
