source_row_id,index_raw,index,index_normalization_status
1118,Hang Seng Stock Connect Greater Bay Area Composite Index,Hang Seng Stock Connect Greater Bay Area Composite Index,unchanged
1119,Hang Seng Stock Connect Greater Bay Area Composite Index,Hang Seng Stock Connect Greater Bay Area Composite Index,unchanged
1120,Hang Seng Stock Connect Greater Bay Area Composite Index,Hang Seng Stock Connect Greater Bay Area Composite Index,unchanged
1121,Hang Seng Stock Connect Greater Bay Area Composite Index,Hang Seng Stock Connect Greater Bay Area Composite Index,unchanged
1122,Hang Seng Stock Connect Greater Bay Area Composite Index,Hang Seng Stock Connect Greater Bay Area Composite Index,unchanged
1123,Hang Seng Stock Connect Greater Bay Area Composite Index,Hang Seng Stock Connect Greater Bay Area Composite Index,unchanged
1124,Hang Seng Stock Connect Greater Bay Area Composite Index,Hang Seng Stock Connect Greater Bay Area Composite Index,unchanged
1125,Hang Seng Stock Connect Greater Bay Area Composite Index,Hang Seng Stock Connect Greater Bay Area Composite Index,unchanged
1126,Hang Seng Stock Connect Greater Bay Area Composite Index,Hang Seng Stock Connect Greater Bay Area Composite Index,unchanged
1127,Hang Seng Stock Connect Greater Bay Area Composite Index,Hang Seng Stock Connect Greater Bay Area Composite Index,unchanged
1128,Hang Seng Stock Connect Greater Bay Area Composite Index,Hang Seng Stock Connect Greater Bay Area Composite Index,unchanged
1129,Hang Seng Stock Connect Greater Bay Area Composite Index,Hang Seng Stock Connect Greater Bay Area Composite Index,unchanged
1130,Hang Seng Stock Connect Greater Bay Area Composite Index,Hang Seng Stock Connect Greater Bay Area Composite Index,unchanged
1131,Hang Seng Stock Connect Greater Bay Area Composite Index,Hang Seng Stock Connect Greater Bay Area Composite Index,unchanged
1132,Hang Seng Stock Connect Greater Bay Area Composite Index,Hang Seng Stock Connect Greater Bay Area Composite Index,unchanged
1133,Hang Seng Stock Connect Greater Bay Area Composite Index,Hang Seng Stock Connect Greater Bay Area Composite Index,unchanged
1134,Hang Seng Stock Connect Greater Bay Area Composite Index,Hang Seng Stock Connect Greater Bay Area Composite Index,unchanged
1135,Hang Seng Stock Connect Greater Bay Area Composite Index,Hang Seng Stock Connect Greater Bay Area Composite Index,unchanged
1136,Hang Seng Stock Connect Greater Bay Area Composite Index,Hang Seng Stock Connect Greater Bay Area Composite Index,unchanged
1137,Hang Seng TECH Index,Hang Seng TECH Index,unchanged
1138,Hang Seng TECH Index,Hang Seng TECH Index,unchanged
1139,Hang Seng TECH Index,Hang Seng TECH Index,unchanged
1140,Hang Seng TECH Index,Hang Seng TECH Index,unchanged
1141,Hang Seng TECH Index,Hang Seng TECH Index,unchanged
1142,Hang Seng TECH Index,Hang Seng TECH Index,unchanged
1143,Hang Seng China Enterprises Index,Hang Seng China Enterprises Index,unchanged
1144,Hang Seng China Enterprises Index,Hang Seng China Enterprises Index,unchanged
1145,Hang Seng China Enterprises Index,Hang Seng China Enterprises Index,unchanged
1146,Hang Seng China Enterprises Index,Hang Seng China Enterprises Index,unchanged
1147,Hang Seng China Enterprises Index,Hang Seng China Enterprises Index,unchanged
1148,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1149,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1150,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1151,Hang Seng Composite Index,Hang Seng Composite Index,unchanged
1152,Hang Seng Index,Hang Seng Index,unchanged
1153,Hang Seng Index,Hang Seng Index,unchanged
1154,Hang Seng Index,Hang Seng Index,unchanged
1155,Hang Seng TECH Index,Hang Seng TECH Index,unchanged
1156,Hang Seng TECH Index,Hang Seng TECH Index,unchanged
1157,Hang Seng TECH Index,Hang Seng TECH Index,unchanged
1158,Hang Seng TECH Index,Hang Seng TECH Index,unchanged
1159,Hang Seng TECH Index,Hang Seng TECH Index,unchanged
1160,Hang Seng (China A) Corporate Sustainability Index,Hang Seng (China A) Corporate Sustainability Index,unchanged
1161,Hang Seng (China A) Corporate Sustainability Index,Hang Seng (China A) Corporate Sustainability Index,unchanged
1162,Hang Seng (China A) Corporate Sustainability Index,Hang Seng (China A) Corporate Sustainability Index,unchanged
1163,Hang Seng (China A) Corporate Sustainability Index,Hang Seng (China A) Corporate Sustainability Index,unchanged
1164,Hang Seng (China A) Corporate Sustainability Index,Hang Seng (China A) Corporate Sustainability Index,unchanged
1165,Hang Seng (China A) Corporate Sustainability Index,Hang Seng (China A) Corporate Sustainability Index,unchanged
1166,Hang Seng (China A) Corporate Sustainability Index,Hang Seng (China A) Corporate Sustainability Index,unchanged
1167,Hang Seng (China A) Corporate Sustainability Index,Hang Seng (China A) Corporate Sustainability Index,unchanged
1168,Hang Seng (China A) Corporate Sustainability Index,Hang Seng (China A) Corporate Sustainability Index,unchanged
1169,Hang Seng (China A) Corporate Sustainability Index,Hang Seng (China A) Corporate Sustainability Index,unchanged
1170,Hang Seng (China A) Corporate Sustainability Index,Hang Seng (China A) Corporate Sustainability Index,unchanged
1171,Hang Seng (China A) Corporate Sustainability Index,Hang Seng (China A) Corporate Sustainability Index,unchanged
1172,Hang Seng (China A) Corporate Sustainability Index,Hang Seng (China A) Corporate Sustainability Index,unchanged
1173,Hang Seng (China A) Corporate Sustainability Index,Hang Seng (China A) Corporate Sustainability Index,unchanged
1174,Hang Seng (China A) Corporate Sustainability Index,Hang Seng (China A) Corporate Sustainability Index,unchanged
1175,Hang Seng (China A) Corporate Sustainability Index,Hang Seng (China A) Corporate Sustainability Index,unchanged
1176,Hang Seng China 50 Index,Hang Seng China 50 Index,unchanged
1177,Hang Seng China 50 Index,Hang Seng China 50 Index,unchanged
1178,Hang Seng China 50 Index,Hang Seng China 50 Index,unchanged
1179,Hang Seng China 50 Index,Hang Seng China 50 Index,unchanged
1180,Hang Seng China 50 Index,Hang Seng China 50 Index,unchanged
1181,Hang Seng China 50 Index,Hang Seng China 50 Index,unchanged
1182,Hang Seng China 50 Index,Hang Seng China 50 Index,unchanged
1183,Hang Seng China 50 Index,Hang Seng China 50 Index,unchanged
1184,Hang Seng China 50 Index,Hang Seng China 50 Index,unchanged
1185,Hang Seng China 50 Index,Hang Seng China 50 Index,unchanged
1186,Hang Seng China 50 Index,Hang Seng China 50 Index,unchanged
1187,Hang Seng China 50 Index,Hang Seng China 50 Index,unchanged
1188,Hang Seng China A Industry Top Index,Hang Seng China A Industry Top Index,unchanged
1189,Hang Seng China A Industry Top Index,Hang Seng China A Industry Top Index,unchanged
1190,Hang Seng China A Industry Top Index,Hang Seng China A Industry Top Index,unchanged
1191,Hang Seng China A Industry Top Index,Hang Seng China A Industry Top Index,unchanged
1192,Hang Seng China A Industry Top Index,Hang Seng China A Industry Top Index,unchanged
1193,Hang Seng China A Industry Top Index,Hang Seng China A Industry Top Index,unchanged
1194,Hang Seng China A Industry Top Index,Hang Seng China A Industry Top Index,unchanged
1195,Hang Seng China A Industry Top Index,Hang Seng China A Industry Top Index,unchanged
1196,Hang Seng China A Industry Top Index,Hang Seng China A Industry Top Index,unchanged
1197,Hang Seng China A Industry Top Index,Hang Seng China A Industry Top Index,unchanged
1198,Hang Seng China A Industry Top Index,Hang Seng China A Industry Top Index,unchanged
1199,Hang Seng China A Industry Top Index,Hang Seng China A Industry Top Index,unchanged
1200,Hang Seng China A Industry Top Index,Hang Seng China A Industry Top Index,unchanged
1201,Hang Seng China A Industry Top Index,Hang Seng China A Industry Top Index,unchanged
1202,Hang Seng China A Industry Top Index,Hang Seng China A Industry Top Index,unchanged
