date,index,change_type,ticker,ticker_normalized,company,source_row_id,change_type_raw,index_raw,index_normalization_status,symbol_rank_within_row,is_primary_symbol,symbol_token_raw,ticker_yf_normalized,ticker_parse_status,ticker_yf
2017-09-04,Hang Seng China AH Index Series,Exclusion,6178 / 601788,6178.HK / 601788.SH,Everbright Securities Co. Ltd.,165,Exclusion,Hang Seng China AH Index Series,unchanged,1,1,6178.HK,6178.HK,parse_ok,6178.HK
2017-09-04,Hang Seng China AH Index Series,Exclusion,6178 / 601788,6178.HK / 601788.SH,Everbright Securities Co. Ltd.,165,Exclusion,Hang Seng China AH Index Series,unchanged,2,0,601788.SH,601788.SS,parse_ok,601788.SS
2017-09-04,Hang Seng China AH Index Series,Inclusion,168 / 600600,0168.HK / 600600.SH,Tsingtao Brewery Co. Ltd.,166,Inclusion,Hang Seng China AH Index Series,unchanged,1,1,0168.HK,0168.HK,parse_ok,0168.HK
2017-09-04,Hang Seng China AH Index Series,Inclusion,168 / 600600,0168.HK / 600600.SH,Tsingtao Brewery Co. Ltd.,166,Inclusion,Hang Seng China AH Index Series,unchanged,2,0,600600.SH,600600.SS,parse_ok,600600.SS
2017-09-04,Hang Seng China AH Index Series,Inclusion,177 / 600377,0177.HK / 600377.SH,Jiangsu Expressway Co. Ltd.,167,Inclusion,Hang Seng China AH Index Series,unchanged,1,1,0177.HK,0177.HK,parse_ok,0177.HK
2017-09-04,Hang Seng China AH Index Series,Inclusion,177 / 600377,0177.HK / 600377.SH,Jiangsu Expressway Co. Ltd.,167,Inclusion,Hang Seng China AH Index Series,unchanged,2,0,600377.SH,600377.SS,parse_ok,600377.SS
2017-09-04,Hang Seng China AH Index Series,Inclusion,323 / 600808,0323.HK / 600808.SH,Maanshan Iron & Steel Co. Ltd.,168,Inclusion,Hang Seng China AH Index Series,unchanged,1,1,0323.HK,0323.HK,parse_ok,0323.HK
2017-09-04,Hang Seng China AH Index Series,Inclusion,323 / 600808,0323.HK / 600808.SH,Maanshan Iron & Steel Co. Ltd.,168,Inclusion,Hang Seng China AH Index Series,unchanged,2,0,600808.SH,600808.SS,parse_ok,600808.SS
2017-09-04,Hang Seng China AH Index Series,Inclusion,548 / 600548,0548.HK / 600548.SH,Shenzhen Expressway Co. Ltd.,169,Inclusion,Hang Seng China AH Index Series,unchanged,1,1,0548.HK,0548.HK,parse_ok,0548.HK
2017-09-04,Hang Seng China AH Index Series,Inclusion,548 / 600548,0548.HK / 600548.SH,Shenzhen Expressway Co. Ltd.,169,Inclusion,Hang Seng China AH Index Series,unchanged,2,0,600548.SH,600548.SS,parse_ok,600548.SS
2017-09-04,Hang Seng China AH Index Series,Inclusion,921 / 000921,0921.HK / 000921.SZ,Hisense Kelon Electrical Holdings Co. Ltd.,170,Inclusion,Hang Seng China AH Index Series,unchanged,1,1,0921.HK,0921.HK,parse_ok,0921.HK
2017-09-04,Hang Seng China AH Index Series,Inclusion,921 / 000921,0921.HK / 000921.SZ,Hisense Kelon Electrical Holdings Co. Ltd.,170,Inclusion,Hang Seng China AH Index Series,unchanged,2,0,000921.SZ,000921.SZ,parse_ok,000921.SZ
2017-09-04,Hang Seng China AH Index Series,Inclusion,991 / 601991,0991.HK / 601991.SH,"Datang International Power Generation Co., Ltd.",171,Inclusion,Hang Seng China AH Index Series,unchanged,1,1,0991.HK,0991.HK,parse_ok,0991.HK
2017-09-04,Hang Seng China AH Index Series,Inclusion,991 / 601991,0991.HK / 601991.SH,"Datang International Power Generation Co., Ltd.",171,Inclusion,Hang Seng China AH Index Series,unchanged,2,0,601991.SH,601991.SS,parse_ok,601991.SS
2017-09-04,Hang Seng China AH Index Series,Inclusion,1065 / 600874,1065.HK / 600874.SH,Tianjin Capital Environmental Protection Group Co. Ltd.,172,Inclusion,Hang Seng China AH Index Series,unchanged,1,1,1065.HK,1065.HK,parse_ok,1065.HK
2017-09-04,Hang Seng China AH Index Series,Inclusion,1065 / 600874,1065.HK / 600874.SH,Tianjin Capital Environmental Protection Group Co. Ltd.,172,Inclusion,Hang Seng China AH Index Series,unchanged,2,0,600874.SH,600874.SS,parse_ok,600874.SS
2017-09-04,Hang Seng China AH Index Series,Inclusion,1138 / 600026,1138.HK / 600026.SH,"COSCO SHIPPING Energy Transportation Co., Ltd.",173,Inclusion,Hang Seng China AH Index Series,unchanged,1,1,1138.HK,1138.HK,parse_ok,1138.HK
2017-09-04,Hang Seng China AH Index Series,Inclusion,1138 / 600026,1138.HK / 600026.SH,"COSCO SHIPPING Energy Transportation Co., Ltd.",173,Inclusion,Hang Seng China AH Index Series,unchanged,2,0,600026.SH,600026.SS,parse_ok,600026.SS
2017-09-04,Hang Seng China AH Index Series,Inclusion,1812 / 000488,1812.HK / 000488.SZ,Shandong Chenming Paper Holdings Ltd.,174,Inclusion,Hang Seng China AH Index Series,unchanged,1,1,1812.HK,1812.HK,parse_ok,1812.HK
2017-09-04,Hang Seng China AH Index Series,Inclusion,1812 / 000488,1812.HK / 000488.SZ,Shandong Chenming Paper Holdings Ltd.,174,Inclusion,Hang Seng China AH Index Series,unchanged,2,0,000488.SZ,000488.SZ,parse_ok,000488.SZ
2017-09-04,Hang Seng China AH Index Series,Inclusion,2039 / 000039,2039.HK / 000039.SZ,"China Int'l Marine Containers (Group) Co., Ltd.",175,Inclusion,Hang Seng China AH Index Series,unchanged,1,1,2039.HK,2039.HK,parse_ok,2039.HK
2017-09-04,Hang Seng China AH Index Series,Inclusion,2039 / 000039,2039.HK / 000039.SZ,"China Int'l Marine Containers (Group) Co., Ltd.",175,Inclusion,Hang Seng China AH Index Series,unchanged,2,0,000039.SZ,000039.SZ,parse_ok,000039.SZ
2017-09-04,Hang Seng China AH Index Series,Inclusion,2238 / 601238,2238.HK / 601238.SH,"Guangzhou Automobile Group Co., Ltd.",176,Inclusion,Hang Seng China AH Index Series,unchanged,1,1,2238.HK,2238.HK,parse_ok,2238.HK
2017-09-04,Hang Seng China AH Index Series,Inclusion,2238 / 601238,2238.HK / 601238.SH,"Guangzhou Automobile Group Co., Ltd.",176,Inclusion,Hang Seng China AH Index Series,unchanged,2,0,601238.SH,601238.SS,parse_ok,601238.SS
2017-09-04,Hang Seng China AH Index Series,Inclusion,2611 / 601211,2611.HK / 601211.SH,"Guotai Junan Securities Co., Ltd.",177,Inclusion,Hang Seng China AH Index Series,unchanged,1,1,2611.HK,2611.HK,parse_ok,2611.HK
